Filtering the log data using "process == "DietDailyMobile""
Timestamp                       (process)[PID]    
2025-10-04 19:10:40.090723+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:10:40.090976+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has associations
2025-10-04 19:10:40.091314+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:10:40.091367+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has associations
2025-10-04 19:10:40.091427+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:10:40.091473+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has associations
2025-10-04 19:10:40.091535+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:10:40.091570+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:10:40.091594+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:10:40.091631+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:11:07.089726+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:11:07.089819+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has associations
2025-10-04 19:11:07.089847+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:11:07.089872+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has associations
2025-10-04 19:11:07.089892+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:11:07.089906+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has associations
2025-10-04 19:11:07.089918+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:11:07.089932+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:11:07.090043+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:11:07.090121+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:11:38.090439+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:11:38.090527+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has associations
2025-10-04 19:11:38.090566+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:11:38.090586+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has associations
2025-10-04 19:11:38.090615+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:11:38.090635+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has associations
2025-10-04 19:11:38.090651+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
